centimeter	sentimeter
degree celsius	derajad selsius
degree fahrenheit	derajad fahrenheit
gram	gram
hour	jam
ampere	ampér
meter	meter
second	sekon
kelvin	kelvin
hertz
newton	newton
pascal	paskal
joule	joule
watt	watt
coulomb	coulumb
volt	volt
ohm	ohm
minute	menit
day	dina
week	minggu
month	sasi
year	taun
century	abad
inch	inci
mile	mil
gallon	galon
ounce	ons
ton	ton
degree	derajad
hectare	hektar
liter	liter
gram	gram
calories	kalori
kilocalorie	kilokalori
decibel	desibel
electron	elektron
bit	bit
byte	byte
pixel	piksel
percent	persen
