G, g	(n/a)	(n/a)	got(goat)	(n/a)	goat -> English meaning,
Ny, ny	(n/a)	(n/a)	niu	(n/a)	new -> English meaning,
N, n	(n/a)	(n/a)	nak	(n/a)	knock -> English meaning,
T, t	(n/a)	(n/a)	tif	(n/a)	steal (< thief) -> English meaning,
D, d	(n/a)	(n/a)	diar (dya)	(n/a)	expensive (< dear) -> English meaning,
H, h	(n/a)	(n/a)	argyu/argyumènt (agyu/agyument)	(n/a)	argument -> English meaning,
Ch, ch	(n/a)	(n/a)	cham	(n/a)	chew -> English meaning,
Y, y	(n/a)	(n/a)	yala	(n/a)	yellow -> English meaning,
Sh, sh	(n/a)	(n/a)	sharp	(n/a)	sharp -> English meaning,
V, v	(n/a)	(n/a)	vot	(n/a)	vote -> English meaning,
A,a	(n/a)	(n/a)	watar	(n/a)	water -> English meaning,
O, o	(n/a)	(n/a)	work	(n/a)	work -> English meaning,
Ŋ, ŋ	(n/a)	(n/a)	siŋ (sing)	(n/a)	sing -> English meaning,
Ay, ay	(n/a)	(n/a)	na im	(n/a)	that's him -> English meaning,
F, f	(n/a)	(n/a)	fùrs (fohs)	(n/a)	first -> English meaning,
M, m	(n/a)	(n/a)	muf/muv	(n/a)	move -> English meaning,
Gb, gb	(n/a)	(n/a)	gbana/tranga	(n/a)	difficult (from Temne) -> English meaning,
Zh, zh	(n/a)	(n/a)	plèzhùr (plehzhoh)	(n/a)	pleasure -> English meaning,
Kp, kp	(n/a)	(n/a)	kpatakpata	(n/a)	completely -> English meaning,
L, l	(n/a)	(n/a)	liv	(n/a)	live -> English meaning,
B, b	(n/a)	(n/a)	bòku (bohku)	(n/a)	many, very much (< French beaucoup) -> English meaning,
U, u	(n/a)	(n/a)	uman	(n/a)	woman -> English meaning,
I, i	(n/a)	(n/a)	titi	(n/a)	girl -> English meaning,
J, j	(n/a)	(n/a)	jomp	(n/a)	jump -> English meaning,
E, e	(n/a)	(n/a)	let (leyt)	(n/a)	late -> English meaning,
R, r	(n/a)	(n/a)	ren (reyn)	(n/a)	rain -> English meaning,
W, w	(n/a)	(n/a)	waka	(n/a)	walk -> English meaning,
S, s	(n/a)	(n/a)	saf	(n/a)	soft -> English meaning,
Ɛ, ɛ	(n/a)	(n/a)	hèp (ep)	(n/a)	help -> English meaning,
K, k	(n/a)	(n/a)	kòntry (kohntri)	(n/a)	country -> English meaning,
Ɔ, ɔ	(n/a)	(n/a)	bòrn (bohn)	(n/a)	born, give birth, conceive -> English meaning,
Aw, aw	(n/a)	(n/a)	naw (nau)	(n/a)	now -> English meaning,
P, p	(n/a)	(n/a)	padi	(n/a)	friend -> English meaning,
Ɔy, ɔy	(n/a)	(n/a)	òil (ohyl)	(n/a)	oil -> English meaning,
Z, z	(n/a)	(n/a)	zero	(n/a)	zero -> English meaning,
