k	k
kʰ	kh
g	g
ŋ	ng
ŋ̊	hng
tɕ	tc
tɕʰ	tch
dʑ	dz
s	s
sʰ	sh
z	z
ɲ	ny
ɲ̥	hny
t	t
tʰ	th
d	d
n	n
n̥	hn
p	p
pʰ	ph
b	b
m	m
m̥	hm
j	j
ɹ	r
ʃ	S
l	l
l̥	hl
w	w
w̥	hw
θ	T
ð	D
h	h
ʔ	q
ə	@0
ì	i2
í	i3
ḭ	i5
ḭˑ	IK5
ù	u2
ú	u3
ṵ	u5
ṵˑ	UK5
è	e2
é	e3
ḛ	e4
ò	o2
ó	o3
o̰	o4
ɛ̀	E2
ɛ́	E3
ɛ̰	E4
ɔ̀	O2
ɔ́	O3
ɔ̰	O4
à	a2
á	a3
a̰	a5
a̰ˑ	aN5
ɪ̀ɴ	IN2
ɪ́ɴ	IN3
ɪ̰ɴ	IN4
ʊ̀ɴ	UN2
ʊ́ɴ	UN3
ʊ̰ɴ	UN4
èɪ̯ɴ	eIN2
éɪ̯ɴ	eIN3
ḛɪ̯ɴ	eIN4
òʊ̯ɴ	oUN2
óʊ̯ɴ	oUN3
o̰ʊ̯ɴ	oUN4
àɪ̯ɴ	aIN2
áɪ̯ɴ	aIN3
a̰ɪ̯ɴ	aIN4
àʊ̯ɴ	aUN2
áʊ̯ɴ	aUN3
a̰ʊ̯ɴ	aUN4
àɴ	aN2
áɴ	aN3
a̰ɴ	aN4
ɪ	IK5
ʊ	UK5
eɪ̯	eIK5
oʊ̯	oUK5
ɛ	EK5
aɪ̯	aIK5
aʊ̯	aUK5
a	aN5
.	.
|	|
