meter	मिटर
second	सेकंड
ampere	एम्पियर
kelvin	केल्भिन
candela	क्यान्डेला
mole	मोल
hertz	हर्ज
radian	रेडियन
steradian	स्टरेडियन
newton	न्युटन
pascal	पास्कल
joule	जुल
watt	वाट
coulomb	कोलम्ब
volt	भोल्ट
farad	फराड
ohm	ओम
siemens	साइमेन्स
weber	वेबर
tesla	टेस्ला
henry	हेनरी
degree celcius	डिग्री सेल्सियस
lumen	लुमने
lux	लक्स
becquerel	बेक्वेरेल
gray	ग्रे
sievert	सिभर्ट
katai	काटल
newton meter	न्युटन मिटर
minute	मिनेट
hour	घन्टा
day	दिन
week	हप्ता
month	महिना
year	वर्ष
century	शताब्दी
millennium	सहस्राब्दी
inch	इन्च
foot	फुट
yard	यार्ड
chain	चेन
furlong	फर्लङ
mile	माइल
league	लिग
fathom	फाथोम
cable	केबल
nauticle mile	नटिकल माइल
link	लिङ्क
rod	रड
perch	पेर्च
rood	रुड
acre	एकर
fluid ounce	फ्युड आउन्स
gill	गिल
pint	पिन्ट
quart	क्वार्ट
gallon	ग्यालोन
ounce	आउन्स
pound	पाउन्ड
stone	स्टोन
hundredweight	हन्ड्रेटवेट
ton	टन
degree	डिग्री
hectare	हेक्टर
liter	लिटर
tonne	टन
neper	नेपेर
gram	ग्राम
smoot	स्मुट
calorie	क्यालोरी
kilocalorie	किलोक्यालोरी
decibel	डेसिबल
electron volt	इलेक्ट्रोन भोल्ट
dalton	डाल्टन
knot	नट
are	आरे
barn	बार्न
bar	बार
atmosphere	वातावरण
horsepower	हर्सपावर
degree fahrenheit	डिग्री फरेन्हाइट
tablespoon	टेबल चम्चा
teaspoon	चिया चम्चा
revolutions per minute	प्रति मिनेट परिक्रमा
bit	बिट
byte	बाइट
astronomical unit	खगोलीय एकाइ
kilogramforce	किलोग्राम-बल
light year	प्रकाश वर्ष
barrel	ब्यारेल
barrel of oil	तेलको ब्यारेल
barrel of oil equivalent	तेल बराबरीको ब्यारेल
pixel	पिक्सेल
percent	प्रतिशत
pixel per inch	पिक्सेल प्रति इन्च
bit per second	बिट प्रति सेकेन्ड
